State,City_Type,Store_Type,Store_Count,SKU_Count,Inventory_Management,Ordering_Method,Stockout_Frequency,Overstock_Frequency,Unsold_Inventory_Percentage,Supplier_Count,Supplier_Lead_Time,Top_Selling_Category,Demand_Driver,Peak_Season_Demand_Change,Combination_Purchase_Frequency,Common_Product_Combinations,Digital_Sales_Data_Years,Decision_Maker,AI_Comfort_Level,Most_Valuable_Feature,Monthly_Inventory_Purchase_Value,Monthly_Software_Budget,Adoption_Motivation,Adoption_Likelihood
Telangana,Tier 2 city,General Store / Kirana,6–10 stores,Less than 500,POS or billing software,Sales reports / historical data,Rarely,Rarely,5–10%,4–10 suppliers,3–5 days,FMCG / grocery items,Social media trends,Difficult to predict,Sometimes,Snacks + beverages,Less than 1 year,Store owner,Very comfortable,Supplier performance insights,₹10–50 lakh,₹7000–₹15000,Reduced stockouts,Very likely
Rajasthan,Tier 1 city,Grocery / Supermarket,11–25 stores,Less than 500,Excel / spreadsheets,Past experience / intuition,Weekly,Very frequently,Less than 5%,1–3 suppliers,Same day,FMCG / grocery items,Social media trends,No change,Sometimes,Rice + cooking oil,Less than 1 year,Operations manager,Somewhat comfortable,Promotion demand prediction,₹10–50 lakh,₹7000–₹15000,Reduced stockouts,Very likely
Maharashtra,Tier 1 city,Grocery / Supermarket,2–5 stores,Less than 500,Combination of multiple tools,Past experience / intuition,Almost never,Occasionally,20–30%,10–20 suppliers,Highly variable,FMCG / grocery items,Regular repeat customers,No change,Sometimes,Rice + cooking oil,More than 3 years,Store owner,Somewhat comfortable,Inventory alerts,₹1–5 lakh,₹3000–₹7000,Better supplier management,Very likely
Tamil Nadu,Tier 2 city,Pharmacy / Medical Store,1 store,Less than 500,Excel / spreadsheets,Supplier recommendations,Monthly,Occasionally,10–20%,1–3 suppliers,Highly variable,Medicines / healthcare products,Regular repeat customers,Slight increase,Yes frequently,Medicines + health supplements,1–3 years,Head office / franchise owner,Somewhat comfortable,Inventory alerts,₹10–50 lakh,₹1000–₹3000,Increased revenue,Maybe
Other,Tier 2 city,Apparel / Fashion,2–5 stores,Less than 500,ERP or inventory management software,Past experience / intuition,Almost never,Occasionally,More than 30%,10–20 suppliers,3–5 days,Apparel / clothing,Regular repeat customers,Difficult to predict,Rarely,Saree + blouse,Less than 1 year,Operations manager,Neutral,Demand forecasting,₹5–10 lakh,₹1000–₹3000,Reduced stockouts,Unlikely
Karnataka,Tier 2 city,Apparel / Fashion,2–5 stores,500–2000,Combination of multiple tools,Past experience / intuition,Weekly,Very frequently,10–20%,4–10 suppliers,1 week,Apparel / clothing,Regular repeat customers,Slight increase,Rarely,Saree + blouse,More than 3 years,Store owner,Neutral,Automatic reorder suggestions,₹1–5 lakh,₹3000–₹7000,Reduced stockouts,Unlikely
Other,Tier 2 city,Grocery / Supermarket,6–10 stores,500–2000,Excel / spreadsheets,Combination of methods,Rarely,Never,Less than 5%,10–20 suppliers,3–5 days,FMCG / grocery items,Festivals,Slight increase,Sometimes,Other,No digital data,Store owner,Neutral,Supplier performance insights,₹1–5 lakh,₹1000–₹3000,Lower inventory cost,Maybe
Other,Tier 3 city / small town,Pharmacy / Medical Store,6–10 stores,500–2000,Combination of multiple tools,Past experience / intuition,Almost never,Rarely,10–20%,1–3 suppliers,1 week,Medicines / healthcare products,Festivals,Increases significantly,Yes frequently,Medicines + health supplements,More than 3 years,Store owner,Very comfortable,Promotion demand prediction,₹5–10 lakh,₹7000–₹15000,Reduced stockouts,Definitely not
Telangana,Tier 2 city,Grocery / Supermarket,6–10 stores,5000–10000,ERP or inventory management software,Software analytics,Rarely,Very frequently,5–10%,1–3 suppliers,3–5 days,FMCG / grocery items,Regular repeat customers,Slight increase,Rarely,Rice + cooking oil,Less than 1 year,IT team,Somewhat comfortable,Demand forecasting,₹1–5 lakh,₹7000–₹15000,Automated purchasing,Unlikely
Maharashtra,Tier 2 city,Other,6–10 stores,2000–5000,Excel / spreadsheets,Past experience / intuition,Weekly,Never,5–10%,10–20 suppliers,3–5 days,Electronics,Promotions / discounts,Increases significantly,Rarely,Other,Less than 1 year,Operations manager,Neutral,Supplier performance insights,₹5–10 lakh,Less than ₹1000,Better supplier management,Very likely
Other,Tier 2 city,Grocery / Supermarket,1 store,500–2000,POS or billing software,Sales reports / historical data,Monthly,Occasionally,5–10%,4–10 suppliers,1–2 days,FMCG / grocery items,Festivals,Slight increase,Sometimes,Rice + cooking oil,Less than 1 year,Operations manager,Very comfortable,Inventory alerts,₹5–10 lakh,₹1000–₹3000,Increased revenue,Very likely
Telangana,Tier 1 city,Electronics,2–5 stores,500–2000,POS or billing software,Software analytics,Rarely,Never,10–20%,4–10 suppliers,1 week,Electronics,Seasonal weather,Difficult to predict,Sometimes,Other,No digital data,Store owner,Neutral,Promotion demand prediction,Less than ₹1 lakh,₹7000–₹15000,Lower inventory cost,Maybe
Uttar Pradesh,Tier 1 city,Pharmacy / Medical Store,1 store,Less than 500,POS or billing software,Past experience / intuition,Monthly,Never,More than 30%,10–20 suppliers,1–2 days,Medicines / healthcare products,Regular repeat customers,No change,Sometimes,Medicines + health supplements,1–3 years,Store owner,Very comfortable,Demand forecasting,₹5–10 lakh,₹3000–₹7000,Reduced stockouts,Unlikely
Rajasthan,Rural,Grocery / Supermarket,1 store,500–2000,Excel / spreadsheets,Past experience / intuition,Rarely,Occasionally,5–10%,1–3 suppliers,1–2 days,FMCG / grocery items,Regular repeat customers,Increases significantly,Yes frequently,Snacks + beverages,Less than 1 year,Operations manager,Not comfortable,Inventory alerts,₹1–5 lakh,₹3000–₹7000,Reduced stockouts,Definitely not
West Bengal,Tier 2 city,Grocery / Supermarket,1 store,500–2000,Excel / spreadsheets,Combination of methods,Monthly,Rarely,20–30%,4–10 suppliers,Highly variable,FMCG / grocery items,Promotions / discounts,Difficult to predict,Sometimes,Snacks + beverages,1–3 years,Operations manager,Neutral,Demand forecasting,₹1–5 lakh,₹3000–₹7000,Better supplier management,Unlikely
Maharashtra,Tier 1 city,Apparel / Fashion,1 store,500–2000,POS or billing software,Past experience / intuition,Weekly,Rarely,10–20%,More than 20 suppliers,3–5 days,Apparel / clothing,Promotions / discounts,No change,Rarely,Saree + blouse,More than 3 years,Distributor recommendation,Very comfortable,Supplier performance insights,₹10–50 lakh,₹1000–₹3000,Reduced stockouts,Definitely not
Karnataka,Tier 2 city,Electronics,1 store,2000–5000,ERP or inventory management software,Supplier recommendations,Weekly,Very frequently,10–20%,4–10 suppliers,Highly variable,Electronics,Promotions / discounts,Difficult to predict,Sometimes,Other,More than 3 years,Store owner,Neutral,Inventory alerts,₹10–50 lakh,₹3000–₹7000,Better supplier management,Definitely not
Other,Tier 1 city,Beauty / Cosmetics,2–5 stores,2000–5000,Combination of multiple tools,Software analytics,Rarely,Very frequently,5–10%,4–10 suppliers,1 week,Beauty / cosmetics,Festivals,Slight increase,Sometimes,Shampoo + conditioner,No digital data,Store owner,Very comfortable,Promotion demand prediction,₹5–10 lakh,Less than ₹1000,Reduced stockouts,Maybe
Karnataka,Tier 3 city / small town,General Store / Kirana,6–10 stores,Less than 500,Manual notebook / paper records,Supplier recommendations,Rarely,Rarely,More than 30%,1–3 suppliers,3–5 days,FMCG / grocery items,Festivals,Slight increase,Never,Rice + cooking oil,More than 3 years,Operations manager,Neutral,Automatic reorder suggestions,₹10–50 lakh,₹1000–₹3000,Increased revenue,Likely
Telangana,Tier 1 city,Grocery / Supermarket,2–5 stores,500–2000,POS or billing software,Combination of methods,Rarely,Rarely,5–10%,10–20 suppliers,1–2 days,FMCG / grocery items,Seasonal weather,Difficult to predict,Sometimes,Rice + cooking oil,More than 3 years,Operations manager,Very comfortable,Inventory alerts,₹1–5 lakh,₹1000–₹3000,Reduced stockouts,Maybe
Gujarat,Tier 3 city / small town,Pharmacy / Medical Store,1 store,500–2000,Combination of multiple tools,Sales reports / historical data,Rarely,Never,10–20%,1–3 suppliers,3–5 days,Medicines / healthcare products,Festivals,Slight increase,Never,Medicines + health supplements,1–3 years,Store owner,Neutral,Demand forecasting,More than ₹50 lakh,₹1000–₹3000,Reduced stockouts,Unlikely
Uttar Pradesh,Tier 1 city,Grocery / Supermarket,1 store,Less than 500,Excel / spreadsheets,Past experience / intuition,Rarely,Occasionally,5–10%,4–10 suppliers,3–5 days,FMCG / grocery items,Festivals,Increases significantly,Rarely,Rice + cooking oil,No digital data,Operations manager,Neutral,Automatic reorder suggestions,₹1–5 lakh,₹1000–₹3000,Lower inventory cost,Likely
Rajasthan,Tier 1 city,Beauty / Cosmetics,1 store,500–2000,Combination of multiple tools,Past experience / intuition,Monthly,Rarely,Less than 5%,1–3 suppliers,1–2 days,Beauty / cosmetics,Regular repeat customers,Increases significantly,Yes frequently,Other,No digital data,Store owner,Somewhat comfortable,Inventory alerts,₹1–5 lakh,₹1000–₹3000,Increased revenue,Maybe
West Bengal,Tier 1 city,Apparel / Fashion,6–10 stores,5000–10000,Excel / spreadsheets,Combination of methods,Monthly,Rarely,More than 30%,4–10 suppliers,1 week,Apparel / clothing,Seasonal weather,Difficult to predict,Sometimes,Other,Less than 1 year,Store owner,Neutral,Automatic reorder suggestions,Less than ₹1 lakh,₹7000–₹15000,Reduced stockouts,Likely
Rajasthan,Tier 1 city,Pharmacy / Medical Store,11–25 stores,500–2000,Manual notebook / paper records,Past experience / intuition,Rarely,Occasionally,10–20%,More than 20 suppliers,Same day,Medicines / healthcare products,Festivals,Difficult to predict,Sometimes,Medicines + health supplements,No digital data,Head office / franchise owner,Neutral,Promotion demand prediction,₹5–10 lakh,₹3000–₹7000,Increased revenue,Unlikely
Tamil Nadu,Tier 2 city,Grocery / Supermarket,1 store,500–2000,Excel / spreadsheets,Combination of methods,Weekly,Rarely,10–20%,4–10 suppliers,3–5 days,FMCG / grocery items,Regular repeat customers,Slight increase,Sometimes,Rice + cooking oil,More than 3 years,Store owner,Neutral,Inventory alerts,Less than ₹1 lakh,₹1000–₹3000,Automated purchasing,Unlikely
Delhi/NCR,Tier 1 city,Apparel / Fashion,25+ stores,Less than 500,Excel / spreadsheets,Combination of methods,Almost never,Occasionally,5–10%,10–20 suppliers,1 week,Apparel / clothing,Promotions / discounts,Slight increase,Sometimes,Saree + blouse,More than 3 years,Head office / franchise owner,Somewhat comfortable,Inventory alerts,Less than ₹1 lakh,₹7000–₹15000,Better supplier management,Maybe
Karnataka,Tier 1 city,General Store / Kirana,25+ stores,500–2000,ERP or inventory management software,Combination of methods,Monthly,Occasionally,10–20%,4–10 suppliers,3–5 days,FMCG / grocery items,Social media trends,Difficult to predict,Sometimes,Snacks + beverages,Less than 1 year,Store owner,Neutral,Automatic reorder suggestions,Less than ₹1 lakh,₹1000–₹3000,Reduced stockouts,Very likely
Delhi/NCR,Tier 1 city,Electronics,6–10 stores,Less than 500,Excel / spreadsheets,Past experience / intuition,Monthly,Occasionally,5–10%,1–3 suppliers,3–5 days,Electronics,Regular repeat customers,Slight increase,Sometimes,Other,No digital data,Store owner,Somewhat comfortable,Automatic reorder suggestions,₹10–50 lakh,More than ₹15000,Better supplier management,Very likely
Uttar Pradesh,Rural,General Store / Kirana,1 store,500–2000,Manual notebook / paper records,Combination of methods,Monthly,Rarely,Less than 5%,1–3 suppliers,1–2 days,FMCG / grocery items,Regular repeat customers,Slight increase,Sometimes,Other,Less than 1 year,Store owner,Very comfortable,Automatic reorder suggestions,₹10–50 lakh,More than ₹15000,Automated purchasing,Very likely
Karnataka,Tier 1 city,Grocery / Supermarket,1 store,500–2000,POS or billing software,Past experience / intuition,Rarely,Rarely,20–30%,4–10 suppliers,3–5 days,FMCG / grocery items,Seasonal weather,Increases significantly,Yes frequently,Other,More than 3 years,Head office / franchise owner,Very comfortable,Supplier performance insights,₹1–5 lakh,₹7000–₹15000,Increased revenue,Likely
Rajasthan,Tier 2 city,Apparel / Fashion,2–5 stores,More than 10000,Excel / spreadsheets,Sales reports / historical data,Weekly,Occasionally,Less than 5%,1–3 suppliers,Highly variable,Apparel / clothing,Seasonal weather,Slight increase,Sometimes,Saree + blouse,1–3 years,Operations manager,Very comfortable,Demand forecasting,More than ₹50 lakh,Less than ₹1000,Automated purchasing,Definitely not
Gujarat,Tier 2 city,Electronics,1 store,2000–5000,POS or billing software,Software analytics,Rarely,Occasionally,20–30%,4–10 suppliers,3–5 days,Electronics,Festivals,Difficult to predict,Yes frequently,Other,No digital data,Store owner,Not comfortable,Demand forecasting,Less than ₹1 lakh,Less than ₹1000,Increased revenue,Likely
Maharashtra,Tier 1 city,Pharmacy / Medical Store,2–5 stores,500–2000,Combination of multiple tools,Supplier recommendations,Weekly,Rarely,20–30%,1–3 suppliers,3–5 days,Medicines / healthcare products,Regular repeat customers,No change,Never,Other,1–3 years,Operations manager,Somewhat comfortable,Automatic reorder suggestions,More than ₹50 lakh,₹3000–₹7000,Lower inventory cost,Maybe
Uttar Pradesh,Tier 2 city,Electronics,1 store,2000–5000,Excel / spreadsheets,Supplier recommendations,Monthly,Occasionally,Less than 5%,4–10 suppliers,3–5 days,Electronics,Social media trends,Increases significantly,Yes frequently,Other,Less than 1 year,Head office / franchise owner,Neutral,Promotion demand prediction,₹1–5 lakh,₹3000–₹7000,Automated purchasing,Maybe
Other,Tier 1 city,Grocery / Supermarket,1 store,500–2000,POS or billing software,Combination of methods,Monthly,Occasionally,10–20%,4–10 suppliers,Highly variable,FMCG / grocery items,Promotions / discounts,No change,Yes frequently,Rice + cooking oil,1–3 years,Head office / franchise owner,Neutral,Inventory alerts,₹1–5 lakh,₹1000–₹3000,Better supplier management,Definitely not
Rajasthan,Tier 2 city,General Store / Kirana,11–25 stores,5000–10000,Combination of multiple tools,Combination of methods,Rarely,Rarely,10–20%,4–10 suppliers,3–5 days,FMCG / grocery items,Seasonal weather,Slight increase,Yes frequently,Rice + cooking oil,Less than 1 year,Operations manager,Neutral,Automatic reorder suggestions,₹1–5 lakh,₹1000–₹3000,Automated purchasing,Likely
Telangana,Tier 1 city,General Store / Kirana,1 store,2000–5000,Manual notebook / paper records,Supplier recommendations,Almost never,Occasionally,Less than 5%,4–10 suppliers,3–5 days,FMCG / grocery items,Regular repeat customers,Difficult to predict,Yes frequently,Rice + cooking oil,No digital data,Head office / franchise owner,Not comfortable,Automatic reorder suggestions,₹10–50 lakh,₹1000–₹3000,Automated purchasing,Unlikely
Telangana,Tier 1 city,Grocery / Supermarket,2–5 stores,More than 10000,Combination of multiple tools,Sales reports / historical data,Weekly,Rarely,More than 30%,4–10 suppliers,3–5 days,FMCG / grocery items,Promotions / discounts,Increases significantly,Sometimes,Snacks + beverages,1–3 years,Head office / franchise owner,Neutral,Promotion demand prediction,₹10–50 lakh,₹1000–₹3000,Lower inventory cost,Maybe
West Bengal,Tier 3 city / small town,Pharmacy / Medical Store,6–10 stores,Less than 500,Excel / spreadsheets,Sales reports / historical data,Weekly,Very frequently,Less than 5%,4–10 suppliers,1 week,Medicines / healthcare products,Festivals,Slight increase,Rarely,Medicines + health supplements,Less than 1 year,Store owner,Not comfortable,Promotion demand prediction,₹10–50 lakh,₹1000–₹3000,Increased revenue,Very likely
Telangana,Tier 1 city,Beauty / Cosmetics,2–5 stores,500–2000,Excel / spreadsheets,Past experience / intuition,Weekly,Rarely,Less than 5%,1–3 suppliers,1–2 days,Beauty / cosmetics,Festivals,Difficult to predict,Sometimes,Shampoo + conditioner,More than 3 years,Store owner,Somewhat comfortable,Inventory alerts,₹1–5 lakh,₹3000–₹7000,Lower inventory cost,Unlikely
Gujarat,Tier 3 city / small town,General Store / Kirana,1 store,2000–5000,POS or billing software,Sales reports / historical data,Rarely,Rarely,Less than 5%,1–3 suppliers,3–5 days,FMCG / grocery items,Promotions / discounts,Increases significantly,Sometimes,Other,More than 3 years,Head office / franchise owner,Somewhat comfortable,Inventory alerts,₹1–5 lakh,₹1000–₹3000,Lower inventory cost,Maybe
Maharashtra,Tier 2 city,Apparel / Fashion,11–25 stores,2000–5000,Excel / spreadsheets,Combination of methods,Monthly,Occasionally,More than 30%,1–3 suppliers,1–2 days,Apparel / clothing,Promotions / discounts,Increases significantly,Sometimes,Saree + blouse,Less than 1 year,Store owner,Very comfortable,Demand forecasting,₹1–5 lakh,₹3000–₹7000,Reduced stockouts,Very likely
Telangana,Tier 1 city,Grocery / Supermarket,1 store,500–2000,Excel / spreadsheets,Combination of methods,Almost never,Occasionally,Less than 5%,1–3 suppliers,3–5 days,FMCG / grocery items,Festivals,Difficult to predict,Sometimes,Snacks + beverages,More than 3 years,Operations manager,Very comfortable,Promotion demand prediction,Less than ₹1 lakh,₹1000–₹3000,Lower inventory cost,Likely
Tamil Nadu,Tier 2 city,Pharmacy / Medical Store,2–5 stores,More than 10000,Excel / spreadsheets,Supplier recommendations,Monthly,Occasionally,5–10%,1–3 suppliers,1–2 days,Medicines / healthcare products,Regular repeat customers,Slight increase,Sometimes,Other,1–3 years,Store owner,Somewhat comfortable,Inventory alerts,₹10–50 lakh,₹7000–₹15000,Better supplier management,Definitely not
Delhi/NCR,Tier 2 city,Pharmacy / Medical Store,2–5 stores,500–2000,Excel / spreadsheets,Supplier recommendations,Weekly,Occasionally,10–20%,4–10 suppliers,1–2 days,Medicines / healthcare products,Promotions / discounts,No change,Yes frequently,Medicines + health supplements,More than 3 years,Head office / franchise owner,Somewhat comfortable,Inventory alerts,₹5–10 lakh,₹3000–₹7000,Reduced stockouts,Maybe
Other,Tier 3 city / small town,General Store / Kirana,2–5 stores,Less than 500,ERP or inventory management software,Combination of methods,Monthly,Occasionally,Less than 5%,10–20 suppliers,1–2 days,FMCG / grocery items,Regular repeat customers,Slight increase,Sometimes,Rice + cooking oil,Less than 1 year,Store owner,Very comfortable,Supplier performance insights,₹1–5 lakh,₹3000–₹7000,Increased revenue,Very likely
West Bengal,Tier 3 city / small town,General Store / Kirana,1 store,Less than 500,ERP or inventory management software,Sales reports / historical data,Monthly,Never,10–20%,4–10 suppliers,1–2 days,FMCG / grocery items,Promotions / discounts,Increases significantly,Rarely,Other,More than 3 years,Store owner,Neutral,Automatic reorder suggestions,₹10–50 lakh,₹1000–₹3000,Reduced stockouts,Unlikely
Uttar Pradesh,Tier 2 city,Apparel / Fashion,1 store,500–2000,POS or billing software,Past experience / intuition,Weekly,Occasionally,5–10%,1–3 suppliers,Highly variable,Apparel / clothing,Promotions / discounts,Difficult to predict,Never,Saree + blouse,No digital data,Operations manager,Neutral,Promotion demand prediction,₹5–10 lakh,Less than ₹1000,Lower inventory cost,Likely
West Bengal,Tier 2 city,Pharmacy / Medical Store,2–5 stores,500–2000,Combination of multiple tools,Past experience / intuition,Almost never,Rarely,Less than 5%,1–3 suppliers,1 week,Medicines / healthcare products,Festivals,Slight increase,Rarely,Medicines + health supplements,1–3 years,Store owner,Not comfortable,Automatic reorder suggestions,Less than ₹1 lakh,More than ₹15000,Better supplier management,Very likely
Karnataka,Tier 1 city,Pharmacy / Medical Store,6–10 stores,More than 10000,Combination of multiple tools,Combination of methods,Weekly,Rarely,10–20%,4–10 suppliers,1 week,Medicines / healthcare products,Regular repeat customers,No change,Sometimes,Medicines + health supplements,1–3 years,Store owner,Very comfortable,Automatic reorder suggestions,₹1–5 lakh,More than ₹15000,Reduced stockouts,Unlikely
Uttar Pradesh,Tier 2 city,Grocery / Supermarket,1 store,Less than 500,Combination of multiple tools,Past experience / intuition,Monthly,Never,More than 30%,1–3 suppliers,Same day,FMCG / grocery items,Festivals,Increases significantly,Yes frequently,Snacks + beverages,1–3 years,Head office / franchise owner,Neutral,Inventory alerts,₹5–10 lakh,More than ₹15000,Reduced stockouts,Very likely
Delhi/NCR,Tier 3 city / small town,Beauty / Cosmetics,1 store,5000–10000,Excel / spreadsheets,Combination of methods,Monthly,Occasionally,5–10%,4–10 suppliers,3–5 days,Beauty / cosmetics,Promotions / discounts,Increases significantly,Sometimes,Shampoo + conditioner,Less than 1 year,Head office / franchise owner,Somewhat comfortable,Demand forecasting,Less than ₹1 lakh,More than ₹15000,Increased revenue,Very likely
Telangana,Tier 2 city,Apparel / Fashion,1 store,Less than 500,POS or billing software,Past experience / intuition,Rarely,Very frequently,More than 30%,4–10 suppliers,1 week,Apparel / clothing,Promotions / discounts,Increases significantly,Rarely,Saree + blouse,1–3 years,Head office / franchise owner,Somewhat comfortable,Automatic reorder suggestions,₹5–10 lakh,More than ₹15000,Better supplier management,Maybe
Gujarat,Tier 2 city,Apparel / Fashion,6–10 stores,500–2000,ERP or inventory management software,Sales reports / historical data,Weekly,Rarely,Less than 5%,1–3 suppliers,3–5 days,Apparel / clothing,Regular repeat customers,Difficult to predict,Yes frequently,Saree + blouse,No digital data,Distributor recommendation,Not comfortable,Demand forecasting,₹1–5 lakh,₹3000–₹7000,Lower inventory cost,Likely
Delhi/NCR,Tier 3 city / small town,Apparel / Fashion,2–5 stores,Less than 500,Excel / spreadsheets,Supplier recommendations,Weekly,Rarely,10–20%,1–3 suppliers,3–5 days,Apparel / clothing,Regular repeat customers,No change,Rarely,Other,1–3 years,Head office / franchise owner,Somewhat comfortable,Demand forecasting,₹1–5 lakh,₹3000–₹7000,Reduced stockouts,Likely
Tamil Nadu,Tier 1 city,Pharmacy / Medical Store,1 store,500–2000,Excel / spreadsheets,Past experience / intuition,Rarely,Never,10–20%,4–10 suppliers,1 week,Medicines / healthcare products,Regular repeat customers,Slight increase,Rarely,Medicines + health supplements,More than 3 years,Head office / franchise owner,Somewhat comfortable,Automatic reorder suggestions,Less than ₹1 lakh,₹7000–₹15000,Reduced stockouts,Likely
Karnataka,Tier 2 city,Apparel / Fashion,1 store,Less than 500,ERP or inventory management software,Combination of methods,Almost never,Rarely,20–30%,4–10 suppliers,3–5 days,Apparel / clothing,Seasonal weather,Slight increase,Rarely,Saree + blouse,1–3 years,Operations manager,Neutral,Automatic reorder suggestions,Less than ₹1 lakh,₹3000–₹7000,Reduced stockouts,Unlikely
Uttar Pradesh,Tier 2 city,Grocery / Supermarket,6–10 stores,Less than 500,Combination of multiple tools,Past experience / intuition,Rarely,Rarely,5–10%,1–3 suppliers,Highly variable,FMCG / grocery items,Seasonal weather,Slight increase,Sometimes,Other,Less than 1 year,Head office / franchise owner,Neutral,Supplier performance insights,₹1–5 lakh,₹7000–₹15000,Better supplier management,Likely
Karnataka,Tier 2 city,Grocery / Supermarket,2–5 stores,2000–5000,Manual notebook / paper records,Supplier recommendations,Rarely,Occasionally,5–10%,1–3 suppliers,3–5 days,FMCG / grocery items,Promotions / discounts,Difficult to predict,Sometimes,Rice + cooking oil,More than 3 years,Distributor recommendation,Very comfortable,Automatic reorder suggestions,₹1–5 lakh,More than ₹15000,Better supplier management,Likely
Karnataka,Tier 3 city / small town,Grocery / Supermarket,2–5 stores,500–2000,ERP or inventory management software,Combination of methods,Rarely,Occasionally,5–10%,1–3 suppliers,1–2 days,FMCG / grocery items,Regular repeat customers,Slight increase,Yes frequently,Snacks + beverages,More than 3 years,Store owner,Somewhat comfortable,Demand forecasting,Less than ₹1 lakh,Less than ₹1000,Increased revenue,Likely
Karnataka,Tier 3 city / small town,Beauty / Cosmetics,1 store,5000–10000,Excel / spreadsheets,Sales reports / historical data,Rarely,Occasionally,10–20%,More than 20 suppliers,3–5 days,Beauty / cosmetics,Promotions / discounts,Difficult to predict,Sometimes,Shampoo + conditioner,More than 3 years,Head office / franchise owner,Not comfortable,Supplier performance insights,₹1–5 lakh,₹7000–₹15000,Reduced stockouts,Likely
